"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An Empirical Study on Blended Learning to Promote the Development of Computational Thinking Ability of College Students","L. Liao; J. Liang","School of Information Technology in Education, South China Normal University, Guangzhou, China; School of Information Technology in Education, South China Normal University, Guangzhou, China",2017 International Symposium on Educational Technology (ISET),"10 Aug 2017","2017","","","256","260","Studies have shown that learning approaches are able to promote the developments of computational thinking on students, including cooperative learning, project-based learning, online communication, Academic dialogue etc. Therefore, these learning approaches can combine with the traditional teaching in a more effective way. Blended learning may promote the developments of computational thinking on students. The paper takes the junior College students as the experimental objects, and carries a pretest-posttest study through unequal experimental and control groups. It approved that blended learning has a positive impact on the college student's computational thinking, i.e., they have an obvious progress.","","978-1-5090-3031-6","10.1109/ISET.2017.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005431","Blended learning;Computational thinking;Computational thinking trend;Skills of computational thinking","Education;Programming profession;Information technology;Management information systems;Software","","3","","10","IEEE","10 Aug 2017","","","IEEE","IEEE Conferences"
"Real Time Assessment of Computational Thinking","K. H. Koh; A. Basawapatna; H. Nickerson; A. Repenning","Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA; Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA",2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"28 Aug 2014","2014","","","49","52","This paper suggests a Cyberlearning tool based on a highly innovative assessment methodology that helps teachers with computer science education. Currently, there is a strong push to integrate aspects of programming and coding into the classroom environment. However, few if any tools exist that enable real-time formative assessment of in-class programming tasks. The proposed REACT (Real Time Evaluation and Assessment of Computational Thinking) system is a first step toward allowing teachers to see which high-level concepts students have mastered and which ones they are struggling with as students code in real time. REACT supports and facilitates the teaching of 21st century computing skills such as computational thinking [1] in the classroom environment.","1943-6106","978-1-4799-4035-6","10.1109/VLHCC.2014.6883021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883021","Computational Thinking;Online Assessment;Real Time Assessment;Computational Thinking Pattern;Computational Thinking Pattern Analysis","Real-time systems;Games;Programming profession;Pattern analysis;Educational institutions;Computer science education","","27","","16","IEEE","28 Aug 2014","","","IEEE","IEEE Conferences"
"Improving learning of computational thinking using creative thinking exercises in CS-1 computer science courses","L. D. Miller; L. -K. Soh; V. Chiriacescu; E. Ingraham; D. F. Shell; S. Ramsay; M. P. Hazley","University of Nebraska System, Lincoln, NE, US; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln",2013 IEEE Frontiers in Education Conference (FIE),"19 Dec 2013","2013","","","1426","1432","Promoting computational thinking is one of the top priorities in CS education as well as in other STEM and non-STEM disciplines. Our innovative NSF-funded IC2Think project blends computational thinking with creative thinking so that students leverage their creative thinking skills to “unlock” their understanding of computational thinking. In Fall 2012, we deployed creative exercises designed to engage Epstein's creative competencies (Surrounding, Capturing, Challenging and Broadening) in introductory level CS courses targeting four different groups (CS, engineering, combined CS/physical sciences, and humanities majors). Students combined hands-on problem solving with guided analysis and reflection to connect their creative activities to CS topics such as conditionals and arrays and to real-world CS applications. Evaluation results (approximately 150 students) found that creative thinking exercise completion had a linear “dosage” effect. As students completed more exercises [0/1 – 4], they increased their long-term retention [a computational thinking test], F(3, 98) = 4.76, p =.004, partial Eta2 = .127 and course grades, F(3, 109) = 4.32, p =.006, partial Eta2 = .106. These findings support our belief that the addition of creative thinking exercises to CSCE courses improves the learning of computational knowledge and skills.","2377-634X","978-1-4673-5261-1","10.1109/FIE.2013.6685067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685067","CS1;Creative Thinking;Computational Thinking;College;Computer Science","Ciphers;Reflection;Writing;Computer science;Data collection;Debugging;Educational institutions","","29","","19","IEEE","19 Dec 2013","","","IEEE","IEEE Conferences"
"Helping Novice Programmers to Bootstrap in the Cloud: Incorporating Support for Computational Thinking into the Game Design Process","N. Ahmadi; M. Jazayeri; M. Landoni","Faculty of Informatics, University of Lugano, Lugano, Switzerland; Faculty of Informatics, University of Lugano, Lugano, Switzerland; Faculty of Informatics, University of Lugano, Lugano, Switzerland",2012 IEEE 12th International Conference on Advanced Learning Technologies,"16 Aug 2012","2012","","","349","353","Game design environments are traditionally used as means for engaging non-programmers in the learning process. However, these environments lack specific support for teaching computational thinking to novices. Typically, such skills are acquired in ad hoc practical sessions with supervision provided by teachers or peers. The usual scenario is where a teacher guides the students in solving these problems during a game design session. In informal learning settings, step-by-step tutorials for creating existing games are used to compensate for the lack of computer support for solving design and computational problems. In this paper we suggest a game design process that combines support for computational thinking with tool usage, by identifying the most common computational thinking problems and providing a generic solution to them. We have evaluated our solution in the context of AgentWeb, an online cloud-based game design environment for novices. We discuss how to incorporate suggested computational thinking solutions as computer assistant into the game design user interface.","2161-377X","978-1-4673-1642-2","10.1109/ICALT.2012.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6268116","end-user programming;computational thinking;design thinking;game design environments;informal learning;cognitive walkthrough;cloud-based environments","Games;Programming;Educational institutions;Computers;Context;Tutorials","","5","","15","IEEE","16 Aug 2012","","","IEEE","IEEE Conferences"
"Teaching mode reform and exploration on the University Computer Basic based on Computational thinking training in Network Environment","Boqin Liu; Junmei He","Faculty of Computer and Information Science, Southwest University, Chongqing, China; Faculty of Computer and Information Science, Southwest University, Chongqing, China",2014 9th International Conference on Computer Science & Education,"16 Oct 2014","2014","","","59","62","Due to the international and domestic education and computer industries and so on computational thinking attaches great importance and has done considerable exploratory research, our school also reform and exploration teaching mode on the University Computer Basic based on Computational thinking training in network environment, and the use of based on Computational thinking Autonomous learning mode in the Network Environment in the actual teaching, strengthen the learners understanding of computer science, corrected the computing disciplines equivalent to the idea of computer programming, enhance the connotation and science significance of computer disciplines, to overcome the computer means “narrow tool” argument,and achieved good teaching results.","","978-1-4799-2951-1","10.1109/ICCSE.2014.6926430","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926430","Computational thinking;The Network teaching auxiliary platform;Autonomous learning mode","Educational institutions;Microcomputers;Computational modeling;Indexes;HTML","","1","","8","IEEE","16 Oct 2014","","","IEEE","IEEE Conferences"
"Computational thinking tools","A. Repenning; A. Basawapatna; N. Escherle","University of Colorado, Boulder, Colorado, USA; Dept. of Math and Computer Information Systems, State University of New York College at Old Westbury, Old Westbury, NY; School of Education, FHNW, Brugg-Windisch, Switzerland",2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"10 Nov 2016","2016","","","218","222","Computational Thinking is an essential skill for all students in the 21st Century. A fundamental question is how can we create computer affordances to empower novice teachers and students, in a variety of STEM and art disciplines, to think computationally while avoiding difficult overhead emerging from traditional coding? Over the last 20 years we have iteratively developed tools that aim to support computational thinking. As these tools evolved a philosophy emerged to support Computational Thinking by joining human abilities with computer affordances. Chief among these findings is that supporting Computational Thinking is much more than making coding accessible. Computational Thinking Tools aim to minimize coding overhead by supporting users through three fundamental stages of the Computational Thinking development cycle: problem formulation, solution expression, and solution execution/evaluation.","1943-6106","978-1-5090-0252-8","10.1109/VLHCC.2016.7739688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7739688","computational thinking tools;end-user programming;K-12 education;computational thinking","","","27","","38","IEEE","10 Nov 2016","","","IEEE","IEEE Conferences"
"Fostering computational thinking skills with a tangible blocks programming environment","T. Turchi; A. Malizia","Human Centred Design Institute, Brunel University London, United Kingdom; Human Centred Design Institute, Brunel University London, United Kingdom",2016 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),"10 Nov 2016","2016","","","232","233","Computational Thinking has recently returned into the limelight as an essential skill to have for both the general public and disciplines outside Computer Science. It encapsulates those thinking skills integral to solving complex problems using a computer, thus widely applicable in our technological society. Several public initiatives such as the Hour of Code successfully introduced it to millions of people of different ages and backgrounds, mostly using Blocks Programming Environments like Scratch that lower the barriers of programming and facilitate learning. In this paper we present our arguments for fostering Computational Thinking skills using a Blocks Programming Environment augmented with a Tangible User Interface, namely by exploiting objects whose interactions with the physical environment are mapped to digital actions performed on the system. Our demonstration includes a working prototype implementing our Tangible Blocks Programming Environment called TAPAS.","1943-6106","978-1-5090-0252-8","10.1109/VLHCC.2016.7739692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7739692","Computational Thinking;Tangible User Interface;End-User Programming","Programming environments;Visualization;Programming profession;Encoding;Concrete","","12","","13","IEEE","10 Nov 2016","","","IEEE","IEEE Conferences"
"CS for ALL: Introducing Computational Thinking with Hands-On Experience in College","A. Jung; J. Park; A. Ahn; M. Yun","Department of Computer Science, Framingham State University, Framingham, MA; Department of STEM Education & Teacher Development, University of Massachusetts Dartmouth, Dartmouth, MA; E-Service IR LLC, Tempe, AZ; Department of Computer Science and Networking, Wentworth Institute of Technology, Boston, MA",2017 International Conference on Computational Science and Computational Intelligence (CSCI),"6 Dec 2018","2017","","","1073","1078","CS for ALL is a new education initiative launched in 2016 to empower a generation of American students with the computer science skills they need to thrive in a digital economy. In order to keep up with trends in the growing technology-driven world, students should have the ability to analyze and consider the consequences of computing problems critically. However, introducing CS and computational thinking skills to the first year students in college is a difficult task because the nature of the subject tends to be dry and conceptual. Thus, we introduce a computer science course that helps all undergraduate students to prepare for digital life as well as enhance their critical thinking skills through hands-on learning experiences. The course contents introduce the general concept of computer science such as computing system, basic networking, algorithms and programming with Scratch and mBot robot exercises. Our student feedback shows a high level of enthusiasm and engagement among the students. The strong hands-on learning nature of the course helped our students to have more engaging and interactive classroom experiences.","","978-1-5386-2652-8","10.1109/CSCI.2017.187","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560947","Computer Science Education;Computational Thinking;Hands-on;Robot programming","","","","","16","IEEE","6 Dec 2018","","","IEEE","IEEE Conferences"
"A pragmatic approach to develop computational thinking skills in novices in Computing Education","M. Philip; V. G. Renumol; R. Gopeekrishnan","Department of Computer Science and Engineering, Rajagiri School of Engineering and Technology, Kochi, India; Division of Information Technology, Cochin University of Science and Technology, Kochi, India; Dept. of Computer Applications, Saintgits College of Engineering, Kottayam, India","2013 IEEE International Conference in MOOC, Innovation and Technology in Education (MITE)","6 Mar 2014","2013","","","199","204","Fundamental skills acquired by undergraduate students during their academic, play a crucial role in their career. One such skill is computational thinking (CT), which will help to solve problems algorithmically using computers. Computational thinking will improve their problem solving skills in a non-conventional manner as this leads the student to think in multiple paths to reach the solution. However, it is a challenge in Computing Education to develop student's ability to solve problems in an algorithmic way. The aim of this paper is to introduce a potential and pragmatic approach to develop computational thinking skills in novices.","","978-1-4799-1626-9","10.1109/MITE.2013.6756334","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6756334","computational thinking;algorithm;problem solving;abstraction;computing education","Programming profession;Computers;Computational modeling;Educational institutions;Problem-solving","","8","","16","IEEE","6 Mar 2014","","","IEEE","IEEE Conferences"
"Approaches for teaching computational thinking strategies in an educational game: A position paper","A. Bauer; E. Butler; Z. Popović","Center for Game Science, University of Washington, Seattle, WA; Center for Game Science, University of Washington, Seattle, WA; Center for Game Science, University of Washington, Seattle, WA",2015 IEEE Blocks and Beyond Workshop (Blocks and Beyond),"4 Jan 2016","2015","","","121","123","Computer science is expanding into K12 education and numerous educational games and systems have been created to teach programming skills, including many block-based programming environments. Teaching computational thinking has received particular attention, and more research is needed on using educational games to directly teach computational thinking skills. We propose to investigate this using Dragon Architect, an educational block-based programming game we are developing. Specifically, we wish to study ways of directly teaching computational thinking strategies such as divide and conquer in an educational game, as well as ways to evaluate our approaches.","","978-1-4673-8367-7","10.1109/BLOCKS.2015.7369019","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7369019","block-based programming;game-based learning;computational thinking;CS education","Games;Programming profession;Programming environments;Computer science education;Problem-solving","","7","","15","IEEE","4 Jan 2016","","","IEEE","IEEE Conferences"
