author,title,journal,volume,number,pages,year,doi,URL,abstract
Gülgün Afacan Adanır and Gulshat Muhametjanova,"Why Do Young Kyrgyz Individuals Use Instagram? An Investigation of the Impacts of Surveillance/Knowledge About Others, Documentation and Self-expression Factors",Media Watch,15,3,297–312,2024a,10.1177/09760911241257817,,"This study investigated the motivational factors that impact Instagram use among young Kyrgyz individuals. The theoretical framework was based on the uses and gratifications theory (UGT). In this respect, the study considered a target group actively using the Internet and social media applications. The study sample covers 515 Kyrgyz individuals between 14 and 23. Data from the sample were collected through a questionnaire based on the UGT. The study adopted a quantitative approach; hence, statistical approaches such as factor analysis, multivariate analysis of variance and correlation analysis were employed for the data analysis. According to the study results, three factors are related to Instagram use among young Kyrgyz individuals. These three factors were surveillance/knowledge about others, documentation and self-expression. The study’s results additionally demonstrated that demographic characteristics (age, gender, status of individuals, time spent on Instagram) have a different impact on individuals’ Instagram use. While gender affected only the documentation factor, time spent on Instagram was significant in all three factors: surveillance/knowledge about others, documentation and self-expression."
Dominique Persano Adorno,Inquiry-based environments for bio-signal processing training in engineering education,International Journal of Mechanical Engineering Education,50,3,629–647,2022b,10.1177/03064190211026207,,"Active student engagement, teaching via experience in real-life settings and learning by doing, are pedagogical strategies appropriate to improve student-reasoning skills. By building models, performing investigations, examining and explaining experimental results, using theoretical and computational thinking, constructing representations, undergraduates can acquire a deeper understanding of fundamental disciplinary concepts while reinforcing transversal abilities. In this framework, Engineering courses should be designed with the final objective to develop practical skills, focusing on hands-on activities. This contribution presents two different inquiry-based learning environments recently experienced at the University of Palermo in the context of bioelectronic and biomedical Engineering. The first study describes a laboratory activity about digital ophthalmologic signal classification; the second laboratory focuses on the analysis of the prefrontal cortex activation during a memory task using functional Near InfraRed Spectroscopy (fNIRS). We introduce and discuss the learning workshops, with the research objective of improving current instruction and training in Engineering courses. Indeed, this contribution aims to suggest a conceptual framework in the form of a structured elective suite of modules tailored to meet the needs of Engineering graduates. The outcomes of both studies seem to highlight that self-directed learning activities could enhance students’ enthusiasm to learn and engagement in engineering investigations, contributing to improve the achievements of students and acquire a more effective learning approach."
Nidal Al Said and Butheyna Zuheir Al-Rawashdeh,Information and computer technologies in media specialist preparation,Information Development,38,3,380–390,2022c,10.1177/02666669211049135,,"New information and computer technologies transform the social interaction and impose new demands for skills and thinking upon media specialists. The aim of this study is to determine the most effective set of information technologies, which can help media specialists develop competencies and thus stay competitive in the labor market. The research methodology is based on the overview of case studies concerning issues such as technology trends, human capital, and talent competitiveness. The qualitative analysis was performed in three phases – overviewing case studies, distinguishing trends and problem-solving. Analyzing data on skill supply and demand, the key skills needed to succeed in the workplace were identified. The results of the three-phase research revealed that the most important competencies needed to be in demand today are technology literacy, stress tolerance, and big data skills. The major finding of this study is that a media specialist needs to focus on learning throughout his life and gain hard and soft skills in the process."
Gila Apelboim-Dushnitzky and Oren Tova,Promoting Letter-Naming and Initial-Phoneme Detection Abilities Among Preschoolers at Risk for Specific Learning Disorder Using Technological Intervention With Two Types of Mats: With and Without Target Letter Forms,Journal of Educational Computing Research,0,0,07356331241277967,2024d,10.1177/07356331241277967,,"This study tested the potential of a technological intervention procedure for promoting letter-naming and initial-phoneme detection skills among preschoolers at risk for Specific Learning Disorder. The study rational is based on evidence for paired associated learning of visual-verbal stimuli, integrated with the use of a tangible technological device (educational floor robot) as means for promoting letter knowledge. Two intervention groups (N = 60) participated. The intervention lasted for eight sessions of phonological training; each dedicated to one target letter. Participants were asked to navigate the robot’s path from a current stopping point to the next according to phonological information processing. Both groups went through the same procedure, but using a different type of mat (one with and one without a visual form of the letter). A control group (N = 30) of at-risk preschoolers received no intervention except for their preschool educational routine. We found that children who participated in phonological training with linkage to the visual form of the letter scored higher in post-intervention tests. Among other proposed explanations, we mention the advantages of using a tangible robot and seemingly three-dimensional letters, along with the tendency to consider visual features while processing language stimulus among children with dyslexia."
Youngkyun Baek and Achraf Touati,Comparing Collaborative and Cooperative Gameplay for Academic and Gaming Achievements,Journal of Educational Computing Research,57,8,2110–2140,2020e,10.1177/0735633118825385,,"This article reports an empirical study that explores gender differences in both cooperative and collaborative social gaming in relation to achievements and attitudes. Another aim was to compare students’ game attitudes, feelings toward group work, and achievements in cooperative versus collaborative digital game-based learning environments. One hundred sixty-four, sixth-grade students from five different classrooms at an elementary school in South Korea participated voluntarily in this study. A total of 2 boys and 2 girls were randomly assigned to each group, resulting in 20 groups for each of the grouping conditions. Based on interaction effects, results suggest that male students show more positive game attitudes in collaborative conditions, whereas female students show more positive game attitudes in cooperative conditions. Data also suggest that males show more positive feelings toward group work than females, irrespective of grouping conditions. Regarding academic and gaming achievements, female students showed higher academic achievement in collaborative conditions, while male students scored higher on academic achievement under cooperative conditions. Findings from this study indicate that gender-balanced groups show significantly higher gaming achievement in collaboration compared with cooperation. Results are interpreted with reference to future research and classroom practices."
Kate Bärnighausen and Astrid Berner-Rodoreda and Maureen McGowan and Mark Donald Reñosa and Caroline Mtaita and Florian Neuhann,‘You Can Get That Person on ART but You Can’t Give Them Back Their Social System’: A Qualitative Analysis of Voluntary Assisted Partner Notification for HIV for Marginalised and Vulnerable Populations,Journal of the International Association of Providers of AIDS Care (JIAPAC),23, ,23259582241272060,2024f,10.1177/23259582241272059,,"Little is known about Voluntary Assisted Partner Notification (VAPN) in groups in sub-Saharan Africa that experience marginalisation, and whether its use is suitable for referral to HIV care pathways. We conducted semi-structured in-depth interviews with purposively selected medical and health professionals (N = 15) regarding their perspectives and experiences with VAPN policy and its implementation. Data were analysed following a Reflexive Thematic Analysis approach. Respondents highlighted the flexibility in VAPN policy implementation and described adjustments made by health workers. Women were seen as vulnerable and lacked access to support against gender-based violence. Men who have sex with men could face exclusion from important social networks. Age-appropriate VAPN assistance was also considered unavailable for sexually active children. Embedding understandings of identity, belonging, and safety into VAPN could address individual priorities and needs. Community support networks, tailored care for children, and family-orientated approaches to HIV notification may overcome issues relating to vulnerability and marginalisation."
Ali Battal and Gülgün Afacan Adanır and Yasemin Gülbahar,Computer Science Unplugged: A Systematic Literature Review,Journal of Educational Technology Systems,50,1,24–47,2021g,10.1177/00472395211018801,,"The computer science (CS) unplugged approach intends to teach CS concepts and computational thinking skills without employing any digital tools. The current study conducted a systematic literature review to analyze research studies that conducted investigations related to implementations of CS unplugged activities. A systematic review procedure was developed and applied to detect and subsequently review relevant research studies published from 2010 to 2019. It was found that 55 research studies (17 articles + 38 conference proceedings) satisfied the inclusion criteria for the analysis. These research studies were then examined with regard to their demographic characteristics, research methodologies, research results, and main findings. It was found that the unplugged approach was realized and utilized differently among researchers. The majority of the studies used the CS unplugged term when referring to “paper–pencil activities,” “problem solving,” “storytelling,” “games,” “tangible programming,” and even “robotics.”"
Rebecca Yvonne Bayeck,Examining Board Gameplay and Learning: A Multidisciplinary Review of Recent Research,Simulation & Gaming,51,4,411–431,2020h,10.1177/1046878119901286,,"Background Recent years have seen the resurgence of board games designed for entertainment, and to teach or explicate real life problems. The revival of board gameplay has been discussed in mainstream media, and has drawn the attention of researchers. Yet, in the field of games studies, the conception of games as learning spaces is mostly emphasized through digital/video games. Aim This literature review reveals the current knowledge regarding the learning potential of board games in various settings, subjects, and diverse learners. Results Board games are spaces for mathematical learning and learning spaces that can enable the learning of various contents. Board games allow for various interactions that result in players engaging in computational thinking, teamwork, and creativity. Conclusion The relationship between board gameplay and learning is evidenced across disciplines and countries. Board games simplify complex issues and systems, which make them appropriate to further explore learning and concepts such as motivation and computational thinking in formal and informal settings. Furthermore, there is need to expand research on learning in commercial board games."
Aurelio Bermúdez and Rafael Casado and Guillermo Fernández and María Guijarro and Pablo Olivas,Drone challenge: A platform for promoting programming and robotics skills in K-12 education,International Journal of Advanced Robotic Systems,16,1,1729881418820425,2019i,10.1177/1729881418820425,,"The development of skills related to computer programming and robotics and the introduction of computational thinking principles in high schools are worldwide trends today. An effective way of initiating young students in this world consists in proposing them stimulating challenges. This work presents a robotic platform that has been successfully used to develop a competition (called Drone Challenge) in which students had to program the navigation system for a simulated unmanned aerial vehicle (or drone). Both the competition and the supporting platform are described in detail. In particular, the article provides a deep technical description of the main components of the platform, namely the drone simulator and the navigation development framework. The results of the survey conducted after the challenge point to the suitability of the working platform deployed."
Taina Bucher,‘Machines don’t have instincts’: Articulating the computational in journalism,New Media & Society,19,6,918–933,2017j,10.1177/1461444815624182,,"This article examines the articulation of computational journalism, focusing on how the meaning of the computational is discursively constructed and mobilized as a specific constellation of intelligibility within news organizations. Relying on the concept of articulation developed in cultural studies, the article asks what, exactly, is meant by the computational in the context of journalism? Drawing on interviews with key managerial staff, editors and developers at Scandinavian news organizations, three broad claims about the linkage between the computational and journalism emerged. These articulations include the notion that machines don’t have instincts, that democracy can never be personalized and finally that the computational is something to think with, rather than simulate. The argument is made that what can and cannot be calculated is not merely a technical question, it is also a deeply social, cultural, political and economic one. Thus, the computational emerges as an important organising framework and discursive order for thinking and talking about journalism in the digital age."
