author,title,journal,volume,number,pages,year,publisher,doi
Rebecca Lowenhaupt and Katherine L. McNeill,Subject-Specific Instructional Leadership in K8 Schools: The Supervision of Science in an Era of Reform,Leadership and Policy in Schools,18,3,460--484,2019,Routledge,10.1080/15700763.2018.1453937
"Jon Saderholm, Robert N. Ronau, Christopher R. Rakes, Sarah B. Bush and Margaret Mohr-Schroeder","The critical role of a well-articulated, coherent design in professional development: an evaluation of a state-wide two-week program for mathematics and science teachers",Professional Development in Education,43,5,789--818,2017,Routledge,10.1080/19415257.2016.1251485
Panagiotis D. Paraschos and Dimitrios E. Koulouriotis,Game Difficulty Adaptation and Experience Personalization: A Literature Review,International Journal of Human–Computer Interaction,39,1,1--22,2023,Taylor \& Francis,10.1080/10447318.2021.2020008
"Chengliang Wang, Haoming Wang, Yuanyuan Li, Jian Dai, Xiaoqing Gu and Teng Yu",Factors Influencing University Students’ Behavioral Intention to Use Generative Artificial Intelligence: Integrating the Theory of Planned Behavior and AI Literacy,International Journal of Human–Computer Interaction,0,0,1--23,2024,Taylor \& Francis,10.1080/10447318.2024.2383033
"Veli Batdı, Yunus Doğan and Tarık Talan",Effectiveness of online learning: a multi-complementary approach research with responses from the COVID-19 pandemic period,Interactive Learning Environments,31,7,4113--4146,2023,Routledge,10.1080/10494820.2021.1954035
Karen Brennan,How kids manage self-directed programming projects: Strategies and structures,Journal of the Learning Sciences,30,4-5,576--610,2021,Routledge,10.1080/10508406.2021.1936531
Iuliia Alieva,How American Media Framed 2016 Presidential Election Using Data Visualization: The Case Study of the New York Times and the Washington Post,Journalism Practice,17,4,814--840,2023,Routledge,10.1080/17512786.2021.1930573
"Mayowa Oyedoyin, Ismaila Temitayo Sanusi and Musa Adekunle Ayanwale",Young children’s conceptions of computing in an African setting,Computer Science Education,0,0,1--36,2024,Routledge,10.1080/08993408.2024.2314397
"Henriette Holmegaard, Louise Archer, Spela Godec, Emma Watson, Emily MacLeod, Jennifer Dewitt and Julie Moote","Feeling the weight of the water: a longitudinal study of how capital and identity shape young people’s computer science trajectories over time, age 10–21",Computer Science Education,0,0,1--29,2024,Routledge,10.1080/08993408.2024.2320009
"Mariia Golovianko, Svitlana Gryshko, Vagan Terziyan and Tuure Tuunanen",Responsible cognitive digital clones as decision-makers: a design science research study,European Journal of Information Systems,32,5,879--901,2023,Taylor \& Francis,10.1080/0960085X.2022.2073278
"Paulo Blikstein, Marcelo Worsley, Chris Piech, Mehran Sahami, Steven Cooper and Daphne Koller",Programming Pluralism: Using Learning Analytics to Detect Patterns in the Learning of Computer Programming,Journal of the Learning Sciences,23,4,561--599,2014,Routledge,10.1080/10508406.2014.954750
Christian Tarchi,Identifying fake news through trustworthiness judgements of documents / La identificación de noticias falsas mediante juicios de fiabilidad de los documentos,Culture and Education,31,2,369--406,2019,Routledge,10.1080/11356405.2019.1597442
Fábio Henrique Pereira and Bruna Mastrella,The Practice of Data-Driven Journalism in Brazil: Between Disruption and the Reinstatement of Professional Values,Digital Journalism,10,4,599--625,2022,Routledge,10.1080/21670811.2022.2061550
"Juan Carlos Quiñones-Gómez, Enric Mor and Jonathan Chacón",Data-Driven Design in the Design Process: A Systematic Literature Review on Challenges and Opportunities,International Journal of Human–Computer Interaction,0,0,1--26,2024,Taylor \& Francis,10.1080/10447318.2024.2318060
"Sue Sentance, Jane Waite and Maria Kallia",Teaching computer programming with PRIMM: a sociocultural perspective,Computer Science Education,29,2-3,136--176,2019,Routledge,10.1080/08993408.2019.1608781
"Brooke A. Whitworth, Lori Rubino-Hare, Francis Boateng, Anne Hamlin, Nena E. Bloom and Eric Nolan",Teacher enactment of the Geospatial Inquiry cycle in classrooms following scaled up professional learning and development,International Journal of Science Education,44,3,379--415,2022,Routledge,10.1080/09500693.2022.2030073
Emanuel Felipe Duarte and M. Cecília C. Baranauskas,Experience-Based Constructionism as a Basis for HCI Education: A Case Study,International Journal of Human–Computer Interaction,40,3,680--700,2024,Taylor \& Francis,10.1080/10447318.2022.2121783
